After you eat, do you get abdominal cramps | After you've had a meal, have you ever felt a cramp | Do you get cramps in your abdomen after a meal | Does your abdomen cramp up after a meal | Have you ever had cramps after you eat | When do you notice abdominal cramps?	I have had cramps after I ate before, but not anytime recently
Does your abdomen get hard | Has there been an instance where you felt your abdomen harden up | Has your abdomen harded | Have you felt your abdomen harden recently | What causes your abdomen to harden	I don't think my abdomen has hardened
Do you feel a pain above your belly button to the right that moves to your shoulder | Do you have a pain below your right rib on your abdomen | Do you have pain that radiates from the top right of your stomach to your shoulder | Have you ever had pain on the top right of your stomach that moved to your shoulder | Have you had a pain on the right upper quadrant of your stomach and on your shoulder | Have you had a pain on the top right of your abdomen and on your shoulder	I don't think that I've had a pain like that
Do you feel an immense amount of pain that is relieved with pressure on your abdomen | Do you feel pain when you release pressure from your abdomen rather than pushing | Do you feel pain with less pressure on your abdomen after you push on it | Does pushing on your abdomen feel better than releasing | When you push on your stomach and release, do you feel pain when you release	I don't think that I've had a pain like that
Are you able to follow a pen with your eyes | Can you move your eyes back and forth | Can you move your eyes like a clock | Can you move your eyes up and down | Can you roll your eyes	I can move my eyes with no problem
I don't think that's normal | That's not normal | That's not right | Yeah that shouldn't happen | Yikes that isn't supposed to happen	It really isn't normal. I've never had this feeling before
Do you have a reflex when you strike the center of your knee | Do you jerk your knee when pressure is added on to the center of your knee | Does your leg kick forward when you hit your knee | When using a rubber hammer to tap on the Achilles tendon, does the ankle cause a reflex | When you sit down and hit your knee, does your knee jerk	Let's see if my ankle reacts
Do you get a lot of pimples, whiteheads, or blackheads | Do you have acne | Do you have an issue with acne | Do you have any problems with pimples, acne | Do you have problems with acne	I do get acne, but I don't think it's very serious
Checking your reflex right now | I am taking your temperature | I'm going to insert the needle | I'm going to put the IV in | I'm going to quickly take your blood pressure | Let me take a listent to your breathing | We'll need to run some test	Ok doctor
Are there dark spots on your nails | Do parts of your body become a different shade not due to sunlight | Do you notice if your face becomes darker than the rest of your body | Do you notice if your gums become darker or black in certain areas | Do you see more of your skin become more dark? in patches | Have you noticed any brown patches on the inside of your cheeks	I don't think I have anything like that
Do you feel an urge to eat more salt | Do you have the urge to add more salt to your food | Does your blood pressure stay the same even when you eat more salt | Even if the food is salty enough, do you still add more salt | How often do you put salt on your food	I haven't really had the urge to eat more salt
Alright | Ok | Sure | Yeah | Yes | OK, excellent.	<speak><break time='1s' /></speak>
Hi how old are you | How many years old are you | How old are you | OK, before we start, could you remind me of your gender and age | Tell me how many years old you are | What is your age | What's your age | Could you remind me of your age?	I'm 32 years old
Do people tell you you drink to much | Do you ever get annoyed that people call you out on drinking alcohol too much | Do you ever get annoyed with your family when they worry about your drinking too much | Do you get annoyed when people tell you you drink too much | Have people annoyed you by criticizing your drinking | Have you been frustrated when your friends criticize you drinking so much | OK, have you ever felt annoyed by people criticizing your drinking?	No
Did you ever want to stop drinking | Ever thought about drinking less | Have wanted to cut down on your drinking | Have you ever felt you ought to cut down on your drinking | Have you ever thought about drinking alcohol less | OK, and do you feel the need to cut down on your drinking?	No
Have you been pulled over from drinking and driving | Have you had a DUI from drinking | Have you had a DUI or driving issues as a result of drinking | Have you had legal trouble from drinking | Have you had trouble with police from drinking	I've never had a DUI
Do you drink alcohol in the morning to get ready for the day | Do you drink in the mornings to calm down | Do you even start your day off with a drink | Do you have a glass of wine to start your day | Have you ever had a drink first thing in the morning to steady your nerves | Uhm no, at the at this time, just wanting to gauge a sense of how you feel about your drinking levels at this time and the follow up question to that would be, have you ever felt the need to have a drink early in the morning? 	No
